USER_ID,ITEM_ID,TIMESTAMP
1,1,0
2,1,1
2,2,2
3,1,3
3,2,4
3,3,5
4,1,6
4,2,7
4,3,8
4,4,9
5,1,10
5,2,11
5,3,12
5,4,13
5,5,14
6,1,15
6,2,16
6,3,17
6,4,18
6,5,19
6,6,20
7,1,21
7,2,22
7,3,23
7,4,24
7,5,25
7,6,26
7,7,27
8,1,28
8,2,29
8,3,30
8,4,31
8,5,32
8,6,33
8,7,34
8,8,35
9,1,36
9,2,37
9,3,38
9,4,39
9,5,40
9,6,41
9,7,42
9,8,43
9,9,44
10,1,45
10,2,46
10,3,47
10,4,48
10,5,49
10,6,50
10,7,51
10,8,52
10,9,53
10,100,54
11,1,55
11,2,56
11,3,57
11,4,58
11,5,59
11,6,60
11,7,61
11,8,62
11,9,63
11,100,64
11,11,65
12,1,66
12,2,67
12,3,68
12,4,69
12,5,70
12,6,71
12,7,72
12,8,73
12,9,74
12,100,75
12,11,76
12,12,77
13,1,78
13,2,79
13,3,80
13,4,81
13,5,82
13,6,83
13,7,84
13,8,85
13,9,86
13,100,87
13,11,88
13,12,89
13,13,90
14,1,91
14,2,92
14,3,93
14,4,94
14,5,95
14,6,96
14,7,97
14,8,98
14,9,99
14,100,100
14,11,101
14,12,102
14,13,103
14,14,104
15,1,105
15,2,106
15,3,107
15,4,108
15,5,109
15,6,110
15,7,111
15,8,112
15,9,113
15,100,114
15,11,115
15,12,116
15,13,117
15,14,118
15,15,119
16,1,120
16,2,121
16,3,122
16,4,123
16,5,124
16,6,125
16,7,126
16,8,127
16,9,128
16,100,129
16,11,130
16,12,131
16,13,132
16,14,133
16,15,134
16,16,135
17,1,136
17,2,137
17,3,138
17,4,139
17,5,140
17,6,141
17,7,142
17,8,143
17,9,144
17,100,145
17,11,146
17,12,147
17,13,148
17,14,149
17,15,150
17,16,151
17,17,152
18,1,153
18,2,154
18,3,155
18,4,156
18,5,157
18,6,158
18,7,159
18,8,160
18,9,161
18,100,162
18,11,163
18,12,164
18,13,165
18,14,166
18,15,167
